Date,Open,High,Low,Close,Volume,Adj Close
2017-04-17,51.349998,51.759998,50.139999,50.41,130300,50.41
2017-04-10,51.82,52.560001,51.200001,51.75,142600,51.75
2017-04-03,53.41,54.50,52.040001,52.049999,111100,52.049999
2017-03-27,51.98,53.830002,51.93,53.060001,85100,53.060001
2017-03-20,53.75,54.509998,52.73,52.98,73400,52.98
2017-03-13,51.93,54.599998,51.330002,54.580002,75600,54.580002
2017-03-06,52.91,52.950001,49.619999,51.25,126800,51.25
2017-02-27,54.049999,54.18,52.290001,52.799999,76000,52.799999
2017-02-21,55.459999,55.900002,54.049999,54.23,105300,54.23
2017-02-13,55.900002,56.970001,54.759998,54.93,94400,54.93
2017-02-06,56.450001,56.849998,55.09,55.709999,49700,55.709999
2017-01-30,56.650002,57.34,55.599998,56.77,70200,56.77
2017-01-23,52.889999,58.349998,52.889999,57.950001,116000,57.950001
2017-01-17,54.560001,54.66,52.919998,53.18,97500,53.18
2017-01-09,56.119999,57.209999,54.560001,54.919998,75900,54.919998
2017-01-03,58.580002,59.099998,56.360001,56.560001,143000,56.560001
2016-12-27,55.669998,56.630001,55.119999,56.119999,179500,56.119999
2016-12-19,54.450001,56.689999,54.00,55.779999,125800,55.779999
2016-12-12,54.700001,55.349998,53.32,53.900002,148000,52.752926
2016-12-05,52.099998,53.900002,50.889999,53.650002,104100,52.508247
2016-11-28,48.360001,51.799999,48.209999,51.459999,103600,50.364853
2016-11-21,48.540001,49.099998,48.439999,48.549999,73200,47.516781
2016-11-14,46.279999,48.299999,46.029999,47.610001,118200,46.596786
2016-11-07,46.84,49.720001,46.77,47.189999,84100,46.185722
2016-10-31,48.98,49.48,45.59,45.91,107000,44.932964
2016-10-24,49.369999,49.98,48.779999,48.959999,131200,47.918056
2016-10-17,48.459999,49.259998,48.060001,49.259998,85300,48.21167
2016-10-10,49.349998,49.790001,48.279999,48.759998,70800,47.722309
2016-10-03,48.990002,49.380001,48.509998,49.040001,53800,47.996353
2016-09-26,47.77,49.119999,47.07,48.73,122000,47.692951
2016-09-19,46.700001,49.150002,46.34,47.50,116400,46.489128
2016-09-12,46.75,47.380001,46.009998,46.029999,96800,45.050411
2016-09-06,47.169998,48.700001,47.119999,47.119999,166400,46.117214
2016-08-29,45.950001,46.209999,44.580002,46.209999,77100,45.226578
2016-08-22,45.669998,47.07,45.669998,46.189999,70700,45.207005
2016-08-15,45.709999,46.580002,45.25,46.189999,53800,45.207005
2016-08-08,43.369999,44.27,42.16,44.27,91900,43.327866
2016-08-01,43.380001,43.439999,41.450001,43.110001,121800,42.192554
2016-07-25,43.619999,43.650002,42.369999,43.459999,70900,42.535103
2016-07-18,43.709999,44.849998,43.709999,43.91,92100,42.975529
2016-07-11,42.98,44.349998,42.580002,43.599998,55300,42.672123
2016-07-05,42.689999,43.509998,42.259998,43.509998,139600,40.935879
2016-06-27,40.610001,42.369999,40.130001,42.32,58400,39.81628
2016-06-20,41.139999,42.73,40.669998,41.02,63000,38.593193
2016-06-13,40.27,41.23,39.380001,40.91,102300,38.4897
2016-06-06,40.00,42.049999,39.900002,40.75,177700,38.339165
2016-05-31,39.689999,39.720001,37.75,39.720001,239100,37.370102
2016-05-23,39.549999,41.330002,39.450001,40.709999,104800,38.301529
2016-05-16,41.509998,41.73,40.139999,40.50,69400,38.103954
2016-05-09,39.950001,42.009998,38.66,41.02,66600,38.593193
2016-05-02,42.43,42.48,39.66,39.919998,111300,37.558266
2016-04-25,43.220001,43.459999,41.200001,42.50,135400,39.98563
2016-04-22,43.48,43.610001,43.209999,43.240002,35200,40.681854
