Date,Open,High,Low,Close,Volume,Adj Close
2017-04-17,35.200001,35.200001,34.07,34.07,100,34.07
2017-04-10,35.490002,35.880001,35.119999,35.119999,200,35.119999
2017-04-03,37.66,39.09,37.540001,39.09,300,39.09
2017-03-27,37.66,38.00,36.599998,37.490002,400,37.490002
2017-03-20,38.400002,38.400002,37.009998,37.66,600,37.66
2017-03-13,34.330002,38.400002,34.330002,38.400002,1100,38.400002
2017-03-06,36.639999,36.639999,34.330002,34.330002,400,34.330002
2017-02-27,36.950001,36.950001,35.02,36.639999,300,36.639999
2017-02-21,37.75,37.900002,37.02,37.02,1600,37.02
2017-02-13,40.189999,40.189999,37.84,37.84,100,37.84
2017-02-06,40.57,40.57,40.18,40.50,000,40.50
2017-01-30,43.950001,43.950001,40.209999,40.57,200,40.57
2017-01-23,40.59,43.950001,40.59,43.950001,200,43.950001
2017-01-17,42.950001,43.169998,40.830002,40.91,800,40.91
2017-01-09,44.02,44.02,42.400002,43.709999,100,43.709999
2017-01-03,43.82,44.02,43.240002,44.02,900,44.02
2016-12-27,38.799999,41.689999,38.799999,41.689999,300,41.689999
2016-12-19,38.700001,40.27,38.700001,38.799999,5900,38.799999
2016-12-12,38.549999,40.32,38.450001,38.790001,2100,38.790001
2016-12-05,38.369999,39.900002,38.369999,39.860001,1200,39.860001
2016-11-28,36.27,37.66,36.27,37.66,2100,37.66
2016-11-21,37.380001,37.380001,35.41,35.41,500,35.41
2016-11-14,33.16,36.080002,33.16,36.080002,8800,36.080002
2016-11-07,33.869999,35.580002,32.779999,32.779999,400,32.779999
2016-10-31,33.330002,34.490002,33.330002,33.529999,1700,33.529999
2016-10-24,31.799999,32.369999,31.60,32.349998,1600,32.349998
2016-10-17,31.639999,32.400002,31.639999,32.099998,1700,32.099998
2016-10-10,31.59,31.59,31.00,31.26,700,31.26
2016-10-03,30.860001,31.459999,30.790001,31.450001,2400,31.450001
2016-09-26,30.01,31.120001,29.42,30.860001,1000,30.860001
2016-09-19,29.75,30.200001,29.719999,30.01,3200,30.01
2016-09-12,29.66,29.66,29.25,29.43,100,29.43
2016-09-06,30.299999,30.85,30.120001,30.700001,6200,30.700001
2016-08-29,29.870001,29.959999,29.00,29.35,2300,29.35
2016-08-22,30.52,30.530001,29.77,29.950001,1300,29.950001
2016-08-15,30.059999,31.32,30.059999,30.549999,6000,30.549999
2016-08-08,30.040001,30.059999,29.77,30.059999,1500,30.059999
2016-08-01,28.719999,30.040001,28.719999,30.040001,100,30.040001
2016-07-25,30.01,30.01,28.719999,28.719999,000,28.719999
2016-07-18,30.549999,30.639999,30.01,30.01,10300,30.01
2016-07-11,29.139999,30.459999,29.139999,30.459999,400,30.459999
2016-07-05,30.440001,30.440001,29.139999,29.139999,300,29.139999
2016-06-27,30.440001,30.440001,30.440001,30.440001,000,29.421595
2016-06-20,29.92,30.530001,29.92,30.440001,000,29.421595
2016-06-13,29.200001,29.92,28.60,29.92,2200,28.918993
2016-06-06,29.620001,30.700001,29.10,30.700001,2600,29.672897
2016-05-31,28.24,28.25,27.040001,27.48,1900,26.560625
2016-05-23,27.75,28.85,27.75,28.110001,900,27.169548
2016-05-16,29.860001,29.92,29.700001,29.92,100,28.918993
2016-05-09,28.92,30.15,28.85,30.120001,1800,29.112301
2016-05-02,31.66,31.66,29.139999,29.139999,1500,28.165087
2016-04-25,31.10,31.35,31.10,31.35,000,30.301149
2016-04-22,30.92,31.10,30.92,31.10,200,30.059515
